AsSOC,current,diffTime
10648.2,-9.04523,16.781
10635.9,-0.650255,18.922
10705.2,3.83245,18.078
10805,5.50392,18.141
10726.7,-4.31307,18.172
10858,7.21948,18.187
10749.6,-5.96094,18.172
10889,7.66137,18.188
10877.2,-0.647951,18.203
10769.8,-5.91002,18.172
10611.9,-8.6739,18.203
10511,-5.55452,18.172
10412.6,-5.40148,18.203
10563,8.28361,18.156
10484.5,-4.30771,18.234
10554.9,3.87608,18.157
10436.2,-6.51384,18.218
10507.4,3.92578,18.141
10363.9,-7.86239,18.25
10289.1,-4.12253,18.156
10129.5,-8.79562,18.141
10020.5,-6.01011,18.14
9941.98,-4.33938,18.094
10037.9,5.27185,18.203
10111,4.01904,18.188
10094.2,-0.928995,18.14
10227.2,7.23179,18.391
10162.9,-3.5456,18.141
9980.95,-9.95135,18.281
9864.24,-6.37869,18.297
9711.62,-8.38418,18.203
9886.23,9.55117,18.281
10017.6,7.20049,18.25
10133.3,6.34856,18.219
10101.6,-1.74479,18.172
10135.3,1.83691,18.375
10306.4,9.41112,18.172
10347.6,2.26386,18.218
10411.1,3.50056,18.125
10326.5,-4.6121,18.329
10174.8,-8.2853,18.312
10150.9,-1.31333,18.219
10177.5,1.45431,18.312
10317.6,7.62315,18.375
10408.9,4.98897,18.313
10247,-8.88848,18.219
10145.7,-5.55795,18.234
10278.4,7.24027,18.328
10116,-8.90496,18.234
10274.4,8.64443,18.329
10424.9,8.24637,18.25
10513.3,4.82066,18.328
10534.8,1.17277,18.328
10382.7,-8.28793,18.344
10449.4,3.62868,18.375
10384.3,-3.53683,18.406
10461.3,4.17872,18.422
10638.9,9.68761,18.328
10471.8,-9.14017,18.281
10347.1,-6.74398,18.484
10481.2,7.32119,18.313
10511.8,1.66984,18.328
10623,6.03924,18.422
10489.6,-7.26362,18.375
10653.7,8.86408,18.516
10755.3,5.54069,18.343
10677.5,-4.22597,18.422
10687.6,0.550383,18.391
10783.3,5.21413,18.359
10784.8,0.0778433,18.391
10747,-2.05479,18.359
10785.9,2.11232,18.391
10718.7,-3.65367,18.39
10599.4,-6.4404,18.516
